"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","332","User should not be able to create two projects with the same id","API Suite","Tue Aug 26 14:05:48 UTC 2025","passed","Tue Aug 26 14:05:49 UTC 2025","com.teamcity.api.ProjectTest","API Test","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest"
"","9659","Authorized User Should Be Able Create New Build Configuration By Manually","UI Suite","Tue Aug 26 14:06:48 UTC 2025","failed","Tue Aug 26 14:06:58 UTC 2025","com.teamcity.ui.CreateNewProjectTest","UI Test","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewBuildConfigurationByManually"
"","211","User should be able to create build type","API Suite","Tue Aug 26 14:05:51 UTC 2025","passed","Tue Aug 26 14:05:51 UTC 2025","com.teamcity.api.BuildTypeTest","API Test","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest"
"","227","Unauthorized user should not be able to create project","API Suite","Tue Aug 26 14:05:45 UTC 2025","passed","Tue Aug 26 14:05:45 UTC 2025","com.teamcity.api.ProjectTest","API Test","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest"
"","308","User should not be able to create build type with id exceeding the limit","API Suite","Tue Aug 26 14:05:52 UTC 2025","passed","Tue Aug 26 14:05:52 UTC 2025","com.teamcity.api.BuildTypeTest","API Test","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest"
"","339","User should be able to delete build type","API Suite","Tue Aug 26 14:05:53 UTC 2025","passed","Tue Aug 26 14:05:53 UTC 2025","com.teamcity.api.BuildTypeTest","API Test","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest"
"","4107","User should be able to start build","API Suite","Tue Aug 26 14:05:53 UTC 2025","passed","Tue Aug 26 14:05:57 UTC 2025","com.teamcity.api.StartBuildTest","API Test","com.teamcity.api.StartBuildTest","userStartsBuildTest"
"","142","Unauthorized user should not be able to create build type","API Suite","Tue Aug 26 14:05:51 UTC 2025","passed","Tue Aug 26 14:05:51 UTC 2025","com.teamcity.api.BuildTypeTest","API Test","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest"
"","6740","Authorized User Should Be Able Create New Project By GitHub","UI Suite","Tue Aug 26 14:07:05 UTC 2025","failed","Tue Aug 26 14:07:12 UTC 2025","com.teamcity.ui.CreateNewProjectTest","UI Test","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProjectByGitHub"
"","9764","Authorized User Should Be Able Create New Build Configuration By GitHub","UI Suite","Tue Aug 26 14:06:28 UTC 2025","failed","Tue Aug 26 14:06:37 UTC 2025","com.teamcity.ui.CreateNewProjectTest","UI Test","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewBuildConfigurationByGitHub"
"","30057","setupTeamCityAgentTest","Surefire suite","Tue Aug 26 14:04:57 UTC 2025","passed","Tue Aug 26 14:05:27 UTC 2025","com.teamcity.SetupFirstStartTest","Surefire test","com.teamcity.SetupFirstStartTest","setupTeamCityAgentTest"
"","488","Project admin should not be able to create build type for not their project","API Suite","Tue Aug 26 14:05:49 UTC 2025","passed","Tue Aug 26 14:05:50 UTC 2025","com.teamcity.api.BuildTypeTest","API Test","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest"
"","381","User should not be able to create project with id exceeding the limit","API Suite","Tue Aug 26 14:05:48 UTC 2025","passed","Tue Aug 26 14:05:48 UTC 2025","com.teamcity.api.ProjectTest","API Test","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest"
"","309","User should not be able to create two build types with the same id","API Suite","Tue Aug 26 14:05:52 UTC 2025","passed","Tue Aug 26 14:05:52 UTC 2025","com.teamcity.api.BuildTypeTest","API Test","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest"
"","2868","User should be able to create project","API Suite","Tue Aug 26 14:05:45 UTC 2025","passed","Tue Aug 26 14:05:48 UTC 2025","com.teamcity.api.ProjectTest","API Test","com.teamcity.api.ProjectTest","userCreatesProjectTest"
"","737","Project admin should be able to create build type for their project","API Suite","Tue Aug 26 14:05:50 UTC 2025","passed","Tue Aug 26 14:05:51 UTC 2025","com.teamcity.api.BuildTypeTest","API Test","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest"
"","326","User should be able to delete project","API Suite","Tue Aug 26 14:05:49 UTC 2025","passed","Tue Aug 26 14:05:49 UTC 2025","com.teamcity.api.ProjectTest","API Test","com.teamcity.api.ProjectTest","userDeletesProjectTest"
