"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 29 06:42:01 GMT 2024","Wed May 29 06:42:32 GMT 2024","30945","Surefire suite","Surefire test","com.teamcity.SetupFirstStartTest","com.teamcity.SetupFirstStartTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Wed May 29 06:42:51 GMT 2024","Wed May 29 06:42:51 GMT 2024","236","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Wed May 29 06:43:28 GMT 2024","Wed May 29 06:43:36 GMT 2024","7835","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewBuildConfigurationByManually","Authorized User Should Be Able Create New Build Configuration By Manually",""
"passed","Wed May 29 06:42:51 GMT 2024","Wed May 29 06:42:51 GMT 2024","207","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create two projects with the same id",""
"passed","Wed May 29 06:42:52 GMT 2024","Wed May 29 06:42:52 GMT 2024","412","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Wed May 29 06:43:36 GMT 2024","Wed May 29 06:43:42 GMT 2024","5570","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProjectByGitHub","Authorized User Should Be Able Create New Project By GitHub",""
"passed","Wed May 29 06:42:52 GMT 2024","Wed May 29 06:42:53 GMT 2024","158","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Wed May 29 06:42:50 GMT 2024","Wed May 29 06:42:51 GMT 2024","202","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest","User should not be able to create project with id exceeding the limit",""
"passed","Wed May 29 06:42:48 GMT 2024","Wed May 29 06:42:50 GMT 2024","1892","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Wed May 29 06:42:53 GMT 2024","Wed May 29 06:42:53 GMT 2024","238","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest","User should be able to delete build type",""
"passed","Wed May 29 06:42:53 GMT 2024","Wed May 29 06:42:53 GMT 2024","150","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
"passed","Wed May 29 06:42:53 GMT 2024","Wed May 29 06:42:53 GMT 2024","200","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"passed","Wed May 29 06:42:52 GMT 2024","Wed May 29 06:42:52 GMT 2024","121","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Wed May 29 06:43:06 GMT 2024","Wed May 29 06:43:28 GMT 2024","21837","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewBuildConfigurationByGitHub","Authorized User Should Be Able Create New Build Configuration By GitHub",""
"passed","Wed May 29 06:42:54 GMT 2024","Wed May 29 06:42:57 GMT 2024","3935","API Suite","API Test","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Wed May 29 06:42:48 GMT 2024","Wed May 29 06:42:48 GMT 2024","164","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Wed May 29 06:42:51 GMT 2024","Wed May 29 06:42:51 GMT 2024","259","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete project",""
