"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 28 15:51:47 GMT 2024","Tue May 28 15:51:51 GMT 2024","3820","API Suite","API Test","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Tue May 28 15:52:13 GMT 2024","Tue May 28 15:52:29 GMT 2024","15251","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewBuildConfigurationByManually","Authorized User Should Be Able Create New Build Configuration By GitHub",""
"passed","Tue May 28 15:51:44 GMT 2024","Tue May 28 15:51:45 GMT 2024","212","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create two projects with the same id",""
"passed","Tue May 28 15:51:46 GMT 2024","Tue May 28 15:51:47 GMT 2024","226","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"passed","Tue May 28 15:51:41 GMT 2024","Tue May 28 15:51:41 GMT 2024","284","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Tue May 28 15:51:45 GMT 2024","Tue May 28 15:51:45 GMT 2024","254","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"failed","Tue May 28 15:52:00 GMT 2024","Tue May 28 15:52:13 GMT 2024","13218","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewBuildConfigurationByGitHub","Authorized User Should Be Able Create New Build Configuration By GitHub",""
"passed","Tue May 28 15:51:47 GMT 2024","Tue May 28 15:51:47 GMT 2024","178","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
"passed","Tue May 28 15:51:46 GMT 2024","Tue May 28 15:51:46 GMT 2024","181","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Tue May 28 15:50:54 GMT 2024","Tue May 28 15:51:22 GMT 2024","28525","Surefire suite","Surefire test","com.teamcity.SetupFirstStartTest","com.teamcity.SetupFirstStartTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Tue May 28 15:52:29 GMT 2024","Tue May 28 15:52:38 GMT 2024","9526","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProjectByGitHub","Authorized User Should Be Able Create New Project By GitHub",""
"passed","Tue May 28 15:51:46 GMT 2024","Tue May 28 15:51:46 GMT 2024","101","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Tue May 28 15:51:47 GMT 2024","Tue May 28 15:51:47 GMT 2024","253","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest","User should be able to delete build type",""
"passed","Tue May 28 15:51:45 GMT 2024","Tue May 28 15:51:46 GMT 2024","413","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Tue May 28 15:51:41 GMT 2024","Tue May 28 15:51:44 GMT 2024","2707","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Tue May 28 15:51:44 GMT 2024","Tue May 28 15:51:44 GMT 2024","292","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest","User should not be able to create project with id exceeding the limit",""
"passed","Tue May 28 15:51:45 GMT 2024","Tue May 28 15:51:45 GMT 2024","190","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete project",""
