"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue May 28 15:32:33 GMT 2024","Tue May 28 15:32:47 GMT 2024","14130","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewBuildConfigurationByGitHub","Authorized User Should Be Able Create New Build Configuration By GitHub",""
"passed","Tue May 28 15:32:13 GMT 2024","Tue May 28 15:32:16 GMT 2024","2519","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectTest","User should be able to create project",""
"passed","Tue May 28 15:32:17 GMT 2024","Tue May 28 15:32:17 GMT 2024","243","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userDeletesProjectTest","User should be able to delete project",""
"passed","Tue May 28 15:32:16 GMT 2024","Tue May 28 15:32:17 GMT 2024","198","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesTwoProjectsWithSameIdTest","User should not be able to create two projects with the same id",""
"passed","Tue May 28 15:32:18 GMT 2024","Tue May 28 15:32:19 GMT 2024","240","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeWithIdExceedingLimitTest","User should not be able to create build type with id exceeding the limit",""
"passed","Tue May 28 15:32:16 GMT 2024","Tue May 28 15:32:16 GMT 2024","224","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","userCreatesProjectWithIdExceedingLimitTest","User should not be able to create project with id exceeding the limit",""
"passed","Tue May 28 15:31:21 GMT 2024","Tue May 28 15:31:54 GMT 2024","33511","Surefire suite","Surefire test","com.teamcity.SetupFirstStartTest","com.teamcity.SetupFirstStartTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Tue May 28 15:32:18 GMT 2024","Tue May 28 15:32:18 GMT 2024","87","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","unauthorizedUserCreatesBuildTypeTest","Unauthorized user should not be able to create build type",""
"passed","Tue May 28 15:32:54 GMT 2024","Tue May 28 15:33:08 GMT 2024","13604","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewProjectByGitHub","Authorized User Should Be Able Create New Project By GitHub",""
"passed","Tue May 28 15:32:18 GMT 2024","Tue May 28 15:32:18 GMT 2024","150","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Tue May 28 15:32:19 GMT 2024","Tue May 28 15:32:23 GMT 2024","3757","API Suite","API Test","com.teamcity.api.StartBuildTest","com.teamcity.api.StartBuildTest","userStartsBuildTest","User should be able to start build",""
"passed","Tue May 28 15:32:19 GMT 2024","Tue May 28 15:32:19 GMT 2024","186","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userDeletesBuildTypeTest","User should be able to delete build type",""
"passed","Tue May 28 15:32:18 GMT 2024","Tue May 28 15:32:18 GMT 2024","418","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
"passed","Tue May 28 15:32:17 GMT 2024","Tue May 28 15:32:17 GMT 2024","333","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"failed","Tue May 28 15:32:47 GMT 2024","Tue May 28 15:32:54 GMT 2024","6956","UI Suite","UI Test","com.teamcity.ui.CreateNewProjectTest","com.teamcity.ui.CreateNewProjectTest","authorizedUserShouldBeAbleCreateNewBuildConfigurationByManually","Authorized User Should Be Able Create New Build Configuration By GitHub",""
"passed","Tue May 28 15:32:13 GMT 2024","Tue May 28 15:32:13 GMT 2024","187","API Suite","API Test","com.teamcity.api.ProjectTest","com.teamcity.api.ProjectTest","unauthorizedUserCreatesProjectTest","Unauthorized user should not be able to create project",""
"passed","Tue May 28 15:32:19 GMT 2024","Tue May 28 15:32:19 GMT 2024","249","API Suite","API Test","com.teamcity.api.BuildTypeTest","com.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithSameIdTest","User should not be able to create two build types with the same id",""
